"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"71","Belgium","BE",266,217.67,0.85,21.2,0.06,17.35,9.06,0.38,0.34,26.63,0.8,0.1,0.32,0.37,0.94,0.56,1.07,0.12,0.01,0.46,0.2,0.03,0.05,0.25,2013
"72","Bulgaria","BG",1434.71,1149.22,7.03,175.77,0.31,92.16,17,0,0.56,47.52,7.9,5.14,1.9,0.86,5.11,3.32,2.6,0.29,0.1,2.72,0.45,0.17,0.63,1.41,2013
"73","Switzerland","CH",72.74,55.11,0.38,9.47,0.02,5.43,2.18,0.05,0.5,10.1,0.32,0.01,0.1,0.2,0.33,0.18,0.16,0.02,0.01,0.15,0.1,0.01,0.02,0.13,2013
"74","Cyprus","CY",392.89,318.58,2.04,51.03,0.05,13.44,8.88,0,0.95,5.52,2.42,0.88,0.58,0.96,1.43,1.01,0.34,0.04,0.03,0.83,0.51,0.05,0.09,0.35,2013
"75","Czechia","CZ",739.55,597.7,3.53,88.25,0.13,38.02,14.97,0.03,0.58,31.8,2.82,0.83,0.89,1.1,2.65,1.55,1.66,0.18,0.05,1.27,0.58,0.07,0.15,0.87,2013
"76","Germany","DE",320.43,279.26,0.87,21.72,0.05,14.83,3.27,0.1,1.24,28.76,1.14,0.2,0.47,0.47,1.28,0.82,0.66,0.07,0.01,0.67,0.25,0.05,0.09,0.38,2013
"77","Denmark","DK",371.83,312.25,1.28,32.01,0.08,24.26,2.62,0.02,0.67,46.08,6.01,2.4,3.01,0.6,5.85,5.24,0.69,0.08,0.02,4.3,0.32,0.24,0.29,0.52,2013
"78","Estonia","EE",1345,1217.46,2.63,65.87,0.17,50.97,10.58,0,0.12,121.74,5.99,2.84,1.95,1.21,4.57,3.39,2.84,0.31,0.04,2.78,0.64,0.63,1.13,0.83,2013
"79","Greece","EL",606.21,481.22,2.57,64.22,0.09,27.58,32.07,1.08,0.03,7.49,4.15,1.54,1.84,0.77,4.02,3.21,1.67,0.18,0.04,2.63,0.41,0.21,0.39,0.59,2013
"80","Ireland","IE",330.01,204.52,3.23,80.7,0.14,40.24,4.24,0.05,0.27,8.02,1.81,0.09,0.37,1.35,1.21,0.64,0.2,0.02,0.05,0.53,0.71,0.03,0.11,0.5,2013
"81","Spain","ES",283.9,211.97,1.57,39.21,0.06,16.81,15.61,0.07,0.23,15.21,1.61,0.24,0.53,0.84,1.54,0.92,1.09,0.12,0.02,0.76,0.44,0.08,0.14,0.47,2013
"82","Finland","FI",339.37,279.17,1.09,27.19,0.09,26.25,6.56,0.03,0.17,176.88,1.35,0.31,0.69,0.35,1.6,1.21,0.71,0.08,0.02,0.99,0.18,0.06,0.12,0.3,2013
"83","Iceland","IS",484.3,374.09,2.26,56.4,0.09,27.58,17.85,8.08,0.29,0.41,9.19,6.34,1.99,0.86,5.06,3.47,9.69,1.07,0.03,2.85,0.45,0.14,0.22,0.49,2013
"84","Portugal","PT",376.6,285.05,2.49,62.3,0.07,20.31,8.66,0.08,0.21,39.74,1.77,0.34,0.76,0.67,2.16,1.32,1.05,0.12,0.03,1.08,0.35,0.21,0.36,0.69,2013
"85","Romania","RO",792.35,513.22,7.54,188.54,0.28,83.94,6.16,0.05,0.45,19.52,5.3,1.64,1.04,2.62,3.29,1.8,2.72,0.3,0.11,1.48,1.38,0.16,0.44,1.08,2013
"86","Serbia","RS",NA,1349.27,10.84,271.01,0.13,39.45,0.01,NA,0,37.68,19.33,13.88,3,2.45,8.15,5.23,4.76,0.52,0.15,4.28,1.29,0.46,0.86,2.25,2013
"87","Sweden","SE",126.75,101.05,0.48,12.02,0.04,11.44,2,0.13,0.11,103.88,0.65,0.09,0.31,0.25,0.86,0.53,0.45,0.05,0.01,0.44,0.13,0.04,0.07,0.27,2013
"88","Slovenia","SI",483.01,394.76,2.4,59.9,0.07,21.29,6.03,0.49,0.54,22.98,2.23,0.31,0.92,1,2.57,1.61,2.41,0.26,0.03,1.32,0.52,0.09,0.14,0.66,2013
"89","Slovakia","SK",535.02,445.49,2.09,52.13,0.1,28.38,8.55,0.15,0.33,87.44,2.19,0.75,0.66,0.79,2.42,1.15,2.65,0.29,0.03,0.94,0.42,0.05,0.13,0.95,2013
"90","Turkey","TR",NA,444.56,3.34,83.39,0.18,53.28,NA,NA,NA,NA,5.49,2.57,0.78,2.14,3,1.36,1.51,0.17,0.05,1.11,1.13,NA,NA,1.43,2013
"91","UnitedKingdom","UK",253.32,207.6,1.16,28.98,0.03,9.95,6.33,0.17,0.28,10.13,0.92,0.24,0.44,0.24,1.2,0.77,0.51,0.06,0.02,0.63,0.13,0.03,0.06,0.35,2013
"92","Norway","NO",180.04,156.15,0.55,13.73,0.02,7.08,2.43,0.51,0.15,9.03,1.12,0.2,0.76,0.16,1.76,1.33,0.64,0.07,0.01,1.09,0.08,0.08,0.11,0.36,2013
"93","Italy","IT",237,186.48,1.17,29.28,0.04,11,8.76,1.17,0.31,12.38,1.06,0.21,0.37,0.48,1.09,0.64,0.33,0.04,0.02,0.52,0.25,0.05,0.07,0.4,2013
"94","Lithuania","LT",561.96,357.17,4.13,103.26,0.31,91.45,9.89,0,0.2,68.36,4.08,0.44,1.61,2.02,3.99,2.81,0.9,0.1,0.06,2.31,1.06,0.1,0.28,1.02,2013
"95","Luxembourg","LU",172.76,153,0.5,12.59,0.02,6.41,0.56,0,0.19,5.11,0.63,0.04,0.37,0.22,0.9,0.65,0.37,0.04,0.01,0.53,0.11,0.02,0.03,0.2,2013
"96","Latvia","LV",500.63,347.57,3.17,79.34,0.21,63.96,9.34,0,0.42,172.02,2.92,0.14,1.37,1.41,4.03,2.39,1.84,0.2,0.04,1.96,0.74,0.32,0.75,1.39,2013
"97","Malta","MT",419.05,363.8,0.89,22.24,0.02,6.58,26.04,0,0.39,1.07,1.83,0.71,0.72,0.4,1.63,1.25,0.82,0.09,0.01,1.02,0.21,0.05,0.12,0.27,2013
"98","Netherlands","NL",295.94,249.38,1.2,29.99,0.05,13.43,2.72,0.21,0.2,19.52,0.98,0.11,0.51,0.36,1.27,0.89,0.46,0.05,0.02,0.73,0.19,0.03,0.04,0.31,2013
"99","Poland","PL",1033.56,817.62,5.29,132.33,0.21,64.03,19.41,0.04,0.14,63.33,4.86,1.68,1.54,1.64,4.4,2.69,2.3,0.25,0.07,2.2,0.86,0.21,0.4,1.38,2013
